1000 5 
285.48 528.53 2 
789.88 982.12 3 
483.90 371.51 2 
194.46 724.40 4 
619.56 585.06 1 
668.15 532.30 1 
892.93 422.40 0 
837.81 515.93 0 
850.97 260.52 0 
269.03 338.99 2 
571.55 409.36 1 
451.02 426.33 2 
752.80 506.53 1 
425.45 339.89 2 
497.83 425.15 1 
474.86 876.02 4 
135.90 473.57 2 
736.40 686.80 3 
669.93 914.72 3 
956.19 279.44 0 
891.73 383.15 0 
850.22 595.94 3 
855.00 428.56 0 
987.48 926.72 3 
147.19 462.64 2 
960.31 461.05 0 
550.45 238.93 2 
158.75 127.74 2 
632.44 442.45 1 
613.27 928.67 3 
857.83 518.18 0 
122.19 818.83 4 
460.72 515.85 1 
329.62 735.88 4 
169.05 679.79 4 
868.82 231.84 0 
121.15 161.22 2 
637.14 510.98 1 
765.46 281.99 0 
718.11 725.97 3 
583.74 226.90 0 
316.25 836.24 4 
228.82 493.73 2 
919.96 481.54 0 
616.87 178.28 0 
158.59 873.19 4 
965.45 723.14 3 
469.07 957.07 4 
517.52 407.74 1 
537.52 250.65 2 
942.35 308.58 0 
931.94 508.07 0 
553.69 606.81 1 
891.26 615.16 3 
736.13 772.19 3 
586.32 268.92 0 
419.68 500.96 1 
218.79 543.64 4 
794.30 535.90 1 
373.16 696.91 4 
603.49 246.86 0 
387.91 919.06 4 
609.12 999.86 3 
961.08 478.77 0 
266.91 492.25 2 
556.00 968.14 3 
703.94 583.52 1 
823.20 500.05 0 
638.26 298.01 0 
703.20 261.75 0 
231.92 129.25 2 
726.82 276.58 0 
417.27 123.07 2 
778.04 378.02 0 
987.61 768.15 3 
235.14 348.68 2 
292.76 871.68 4 
855.88 827.40 3 
730.39 548.70 1 
621.98 737.75 1 
372.77 803.01 4 
509.28 940.78 4 
121.15 627.72 4 
698.36 865.50 3 
426.94 203.63 2 
991.57 519.80 0 
771.04 323.91 0 
852.37 935.48 3 
241.84 322.23 2 
332.18 149.77 2 
702.62 833.91 3 
900.76 277.30 0 
988.41 166.74 0 
245.13 275.02 2 
723.88 510.74 1 
753.65 753.32 3 
401.94 164.22 2 
549.63 836.88 1 
114.45 604.81 4 
291.36 827.62 4 
674.96 983.11 3 
903.23 573.85 3 
524.61 767.52 1 
253.92 997.75 4 
261.89 217.97 2 
847.59 484.86 0 
986.35 517.19 0 
542.93 788.92 1 
197.09 436.82 2 
866.65 654.33 3 
237.33 367.64 2 
436.11 810.51 4 
624.53 690.78 1 
857.45 340.14 0 
957.40 819.16 3 
714.26 875.33 3 
140.57 286.39 2 
513.07 424.16 1 
617.00 112.00 0 
500.57 481.21 1 
649.06 420.48 1 
718.66 124.94 0 
438.88 642.60 1 
512.80 755.13 1 
628.79 977.26 3 
559.35 573.33 1 
971.76 641.67 3 
127.49 659.88 4 
213.66 588.16 4 
741.18 850.11 3 
476.65 815.70 4 
857.15 963.17 3 
985.31 854.21 3 
824.16 886.56 3 
625.68 750.08 1 
939.52 669.30 3 
478.00 330.56 2 
168.01 427.29 2 
613.52 375.38 0 
839.57 313.33 0 
296.41 773.98 4 
790.40 355.71 0 
381.09 195.78 2 
764.06 417.68 0 
845.66 452.51 0 
437.57 981.79 4 
352.01 279.96 2 
988.38 511.23 0 
673.67 617.75 1 
167.68 892.50 4 
381.23 714.87 4 
496.01 511.07 1 
426.61 839.62 4 
346.35 864.75 4 
616.62 821.49 3 
230.58 866.48 4 
616.21 303.58 0 
354.95 240.71 2 
672.57 733.49 3 
160.12 565.81 4 
399.88 570.56 1 
211.32 165.84 2 
716.43 838.25 3 
954.32 205.33 0 
973.44 799.00 3 
502.91 189.05 2 
867.39 880.30 3 
373.57 221.13 2 
975.91 729.73 3 
632.52 825.81 3 
707.64 527.35 1 
571.33 583.14 1 
107.36 633.32 4 
776.48 383.29 0 
706.38 498.95 1 
208.30 151.69 2 
158.94 919.69 4 
355.38 448.66 2 
155.98 657.27 4 
179.52 196.82 2 
755.35 510.41 1 
217.28 239.01 2 
620.96 460.77 1 
453.72 379.86 2 
609.92 273.56 0 
433.45 514.58 1 
499.23 880.19 4 
625.41 697.51 1 
692.32 720.97 3 
906.39 853.99 3 
495.96 576.99 1 
579.13 388.48 1 
308.50 267.82 2 
290.73 192.12 2 
209.81 744.53 4 
366.65 102.75 2 
493.43 355.17 2 
426.39 620.69 1 
231.92 611.43 4 
196.16 133.15 2 
315.94 334.46 2 
984.26 950.89 3 
757.17 707.67 3 
534.52 109.39 2 
496.54 115.02 2 
524.30 738.90 1 
307.84 392.99 2 
521.42 154.88 2 
837.37 673.67 3 
366.51 373.82 2 
870.30 448.08 0 
996.48 805.78 3 
464.70 627.03 1 
473.88 828.06 4 
543.42 828.03 1 
438.75 792.54 4 
884.31 566.33 3 
848.11 370.02 0 
700.28 778.21 3 
918.56 784.30 3 
148.67 754.59 4 
338.03 839.84 4 
661.69 412.98 0 
662.02 495.30 1 
637.39 286.42 0 
960.06 986.95 3 
582.78 156.64 0 
227.94 854.10 4 
749.42 410.43 0 
631.53 270.65 0 
851.60 746.87 3 
697.37 435.20 0 
208.49 313.69 2 
416.39 523.04 1 
700.56 200.83 0 
175.45 553.28 4 
980.55 669.33 3 
183.33 974.21 4 
530.29 343.68 2 
305.92 119.67 2 
203.63 545.98 4 
676.69 140.27 0 
745.91 399.50 0 
298.06 961.66 4 
330.86 280.35 2 
299.27 973.80 4 
705.83 144.96 0 
966.13 203.93 0 
485.14 411.80 2 
108.49 376.56 2 
483.16 925.18 4 
781.34 313.03 0 
526.94 279.58 2 
824.32 875.05 3 
939.52 932.35 3 
136.28 803.64 4 
734.32 782.82 3 
849.95 358.27 0 
311.27 946.66 4 
321.99 407.93 2 
695.50 502.47 1 
705.20 378.26 0 
808.56 739.92 3 
817.18 707.21 3 
113.93 486.40 2 
372.06 612.80 4 
926.33 541.50 0 
290.40 425.92 2 
625.93 596.38 1 
352.97 191.00 2 
468.41 366.87 2 
414.38 188.42 2 
530.68 918.07 4 
141.47 481.02 2 
283.78 808.61 4 
793.04 638.13 3 
432.87 133.04 2 
405.46 340.53 2 
315.39 789.93 4 
300.86 218.99 2 
897.77 753.95 3 
782.79 929.71 3 
461.38 380.65 2 
335.00 719.84 4 
218.63 521.23 2 
489.64 286.36 2 
649.11 575.83 1 
979.56 780.90 3 
397.19 563.42 1 
841.11 164.16 0 
121.31 936.61 4 
882.61 762.96 3 
635.74 619.01 1 
684.35 832.73 3 
435.04 493.84 1 
845.66 979.02 3 
842.56 221.46 0 
944.49 940.70 3 
472.89 114.17 2 
325.64 488.41 2 
749.37 446.41 0 
282.63 641.07 4 
566.93 928.37 3 
349.31 953.55 4 
941.36 821.30 3 
766.64 779.06 3 
434.96 622.44 1 
240.19 258.81 2 
399.88 397.85 2 
154.30 842.53 4 
829.38 191.19 0 
758.07 192.54 0 
457.48 286.69 2 
489.12 174.93 2 
798.45 454.18 0 
150.87 290.84 2 
765.43 454.70 0 
608.44 650.60 1 
460.25 934.30 4 
219.29 344.43 2 
773.87 684.68 3 
464.13 912.60 4 
288.86 198.55 2 
793.51 767.74 3 
424.27 297.71 2 
155.87 173.31 2 
513.32 362.03 2 
622.80 830.50 3 
954.76 237.88 0 
876.81 777.19 3 
628.79 453.47 1 
177.46 151.91 2 
417.40 319.57 2 
571.68 526.12 1 
820.59 243.98 0 
963.28 757.36 3 
108.46 637.19 4 
507.77 867.39 4 
800.37 138.07 0 
448.33 697.37 1 
310.97 837.40 4 
257.74 344.04 2 
554.96 727.12 1 
602.69 829.49 3 
649.75 854.01 3 
895.71 307.81 0 
307.79 205.36 2 
350.25 462.15 2 
558.91 405.15 1 
205.11 394.42 2 
592.61 448.52 1 
733.08 761.67 3 
762.17 853.05 3 
599.76 861.60 3 
639.88 154.63 0 
288.53 620.96 4 
365.22 426.28 2 
956.71 989.32 3 
475.55 247.77 2 
438.69 291.58 2 
360.88 804.60 4 
262.14 742.83 4 
432.46 843.93 4 
192.18 177.59 2 
946.69 766.12 3 
469.59 297.92 2 
774.11 579.57 1 
858.77 192.29 0 
754.94 297.16 0 
470.55 129.03 2 
530.98 102.58 2 
976.24 577.43 3 
695.28 764.42 3 
977.70 759.34 3 
949.43 726.02 3 
349.84 584.68 4 
709.81 249.83 0 
520.62 373.82 2 
952.95 943.78 3 
604.37 419.93 1 
240.63 247.83 2 
554.11 194.65 2 
815.97 709.38 3 
448.44 149.91 2 
609.97 324.98 0 
778.65 519.14 1 
550.34 876.89 3 
951.52 971.27 3 
312.62 542.43 2 
873.76 919.96 3 
204.02 504.42 2 
133.34 742.14 4 
321.24 840.56 4 
543.72 108.05 2 
272.41 120.13 2 
266.06 876.54 4 
503.79 986.24 4 
575.75 858.30 3 
422.21 150.90 2 
888.38 300.73 0 
653.54 182.65 0 
410.65 196.98 2 
127.80 813.09 4 
932.68 772.60 3 
731.84 841.60 3 
326.05 852.64 4 
319.95 766.20 4 
964.54 163.01 0 
323.08 318.11 2 
132.11 768.46 4 
647.30 828.97 3 
134.55 700.31 4 
902.27 307.90 0 
679.79 278.07 0 
450.01 157.65 2 
442.89 676.64 1 
115.08 606.92 4 
981.41 843.30 3 
746.26 187.34 0 
316.14 217.20 2 
570.64 633.84 1 
843.93 754.48 3 
930.95 135.21 0 
896.84 412.02 0 
746.26 614.64 1 
914.69 393.45 0 
987.09 266.67 0 
745.41 309.87 0 
405.32 630.05 1 
139.58 858.93 4 
209.62 323.83 2 
554.60 775.08 1 
727.17 225.11 0 
533.75 454.32 1 
541.77 316.55 2 
776.48 806.52 3 
949.82 381.64 0 
364.75 738.22 4 
123.79 975.99 4 
261.81 719.43 4 
524.91 652.79 1 
948.36 537.21 0 
454.40 270.46 2 
412.13 489.42 1 
485.36 460.55 1 
956.63 421.36 0 
164.49 384.20 2 
444.02 459.15 1 
425.42 955.31 4 
738.74 542.02 1 
603.57 858.16 3 
866.29 807.51 3 
993.35 238.18 0 
454.13 832.18 4 
738.54 393.56 0 
769.17 681.14 3 
196.22 845.88 4 
118.18 869.51 4 
264.96 118.07 2 
626.48 588.77 1 
617.88 697.84 1 
660.48 301.58 0 
131.09 214.18 2 
710.01 857.64 3 
548.67 806.03 1 
595.50 733.96 1 
473.90 710.14 1 
516.39 652.82 1 
528.26 947.24 4 
905.71 980.33 3 
468.19 133.70 2 
106.70 258.73 2 
100.60 397.82 2 
137.41 975.66 4 
987.72 127.91 0 
658.31 323.36 0 
981.54 130.98 0 
408.94 851.35 4 
179.10 729.81 4 
629.36 764.89 1 
438.80 176.55 2 
931.31 573.33 3 
848.27 711.30 3 
135.68 240.74 2 
984.84 243.18 0 
641.29 142.27 0 
859.01 282.74 0 
940.40 679.38 3 
381.51 903.18 4 
947.40 356.68 0 
744.59 758.98 3 
255.60 674.33 4 
658.07 839.76 3 
487.88 538.07 1 
631.32 287.76 0 
857.12 240.85 0 
140.90 956.79 4 
801.55 418.94 0 
875.19 940.92 3 
611.24 735.14 1 
896.34 951.08 3 
410.79 793.26 4 
110.33 167.65 2 
114.26 835.86 4 
985.58 947.15 3 
717.56 229.23 0 
610.69 810.86 3 
544.44 288.31 2 
332.37 994.45 4 
311.25 444.73 2 
263.62 985.33 4 
726.40 611.21 1 
403.09 227.17 2 
189.73 545.23 4 
856.32 718.91 3 
608.16 965.58 3 
399.22 186.52 2 
992.31 824.10 3 
274.61 156.06 2 
350.52 886.62 4 
762.50 605.50 1 
345.47 825.56 4 
114.31 123.84 2 
429.02 877.69 4 
492.50 255.98 2 
221.18 670.07 4 
805.04 560.40 1 
948.50 867.12 3 
876.70 158.83 0 
907.57 242.25 0 
446.52 405.87 2 
169.77 127.11 2 
333.05 155.84 2 
491.98 741.24 1 
957.48 756.21 3 
349.51 455.67 2 
165.12 544.69 4 
756.89 493.49 1 
836.85 478.88 0 
191.77 920.40 4 
529.52 676.06 1 
587.95 328.33 0 
637.74 491.54 1 
912.74 365.47 0 
116.12 813.56 4 
294.77 515.74 2 
453.72 503.02 1 
717.51 480.61 1 
440.59 955.94 4 
644.11 966.82 3 
217.56 816.91 4 
189.62 432.70 2 
349.48 221.73 2 
205.58 196.55 2 
112.72 197.34 2 
593.11 159.99 0 
537.74 396.78 1 
909.85 249.39 0 
196.98 597.89 4 
486.65 628.79 1 
978.93 143.67 0 
219.23 486.95 2 
138.95 752.17 4 
550.84 152.38 2 
267.60 574.29 4 
511.15 938.53 4 
866.81 227.61 0 
427.48 273.01 2 
474.65 584.40 1 
573.58 813.91 1 
929.63 441.49 0 
171.61 505.74 2 
414.55 851.05 4 
713.39 278.84 0 
171.17 839.29 4 
915.87 845.12 3 
725.77 292.18 0 
777.00 992.89 3 
816.44 135.73 0 
247.47 334.51 2 
963.08 289.05 0 
983.63 909.74 3 
570.12 818.53 1 
297.76 697.56 4 
402.85 470.91 2 
170.89 440.26 2 
228.24 714.04 4 
644.06 632.39 1 
760.46 462.29 0 
453.19 177.79 2 
601.87 416.09 1 
324.13 568.22 4 
920.43 392.68 0 
292.21 986.05 4 
453.44 476.82 1 
863.19 784.61 3 
779.06 169.02 0 
280.21 149.39 2 
845.61 960.28 3 
413.26 992.86 4 
699.46 210.22 0 
935.81 686.03 3 
602.50 658.34 1 
605.25 480.44 1 
179.05 944.60 4 
612.03 523.07 1 
883.71 469.37 0 
913.34 617.50 3 
229.83 169.46 2 
717.12 234.61 0 
870.44 139.09 0 
331.87 725.91 4 
470.77 873.63 4 
247.74 542.10 4 
764.45 964.27 3 
964.95 811.08 3 
832.95 721.93 3 
334.59 377.17 2 
399.36 958.44 4 
928.20 355.96 0 
677.18 102.69 0 
800.73 907.05 3 
664.44 480.80 1 
863.49 377.85 0 
724.07 837.37 3 
432.15 222.45 2 
540.95 326.90 2 
665.59 647.33 1 
596.51 952.84 3 
961.13 288.09 0 
551.03 382.41 1 
821.85 169.99 0 
974.92 816.17 3 
361.73 955.34 4 
918.97 638.95 3 
263.98 930.70 4 
464.67 831.93 4 
658.29 837.75 3 
745.00 972.64 3 
632.72 499.97 1 
676.22 601.87 1 
545.81 549.00 1 
891.70 585.20 3 
754.50 503.40 1 
617.75 447.32 1 
723.38 203.19 0 
682.82 707.43 1 
231.18 353.08 2 
200.12 793.75 4 
339.81 177.73 2 
114.53 665.15 4 
441.82 541.91 1 
254.53 318.22 2 
751.81 638.84 1 
379.39 807.84 4 
257.25 200.03 2 
862.67 959.13 3 
394.72 729.29 4 
902.49 599.54 3 
866.87 614.26 3 
699.05 888.35 3 
565.72 118.87 0 
990.39 872.44 3 
818.28 309.38 0 
986.40 646.09 3 
519.53 217.31 2 
692.51 342.89 0 
169.08 592.59 4 
562.95 838.22 3 
776.56 549.63 1 
874.81 789.91 3 
251.48 859.97 4 
962.78 395.84 0 
243.68 194.02 2 
706.22 196.08 0 
849.13 765.65 3 
808.15 797.82 3 
647.47 682.24 1 
657.44 851.38 3 
186.55 253.51 2 
214.70 955.28 4 
279.71 462.53 2 
212.28 918.75 4 
431.22 151.31 2 
809.16 759.09 3 
455.89 725.00 4 
191.46 963.03 4 
707.97 627.20 1 
459.10 689.43 1 
385.60 989.51 4 
688.97 241.73 0 
125.79 208.99 2 
715.80 188.28 0 
255.98 656.01 4 
920.87 758.65 3 
917.60 765.85 3 
869.23 193.99 0 
827.34 217.50 0 
986.57 179.76 0 
891.86 452.26 0 
215.52 838.66 4 
441.27 335.50 2 
142.82 611.98 4 
397.24 714.84 4 
437.32 607.83 1 
241.45 577.67 4 
589.95 843.88 3 
399.55 361.29 2 
896.04 562.84 3 
506.89 518.51 1 
570.56 849.37 3 
671.09 992.28 3 
337.09 125.49 2 
697.48 502.03 1 
181.05 553.78 4 
792.71 395.32 0 
507.61 625.41 1 
512.33 267.27 2 
995.41 962.21 3 
368.16 901.64 4 
886.23 409.71 0 
160.43 836.13 4 
401.42 450.58 2 
251.18 305.18 2 
725.86 415.32 0 
743.82 663.73 3 
449.65 619.31 1 
284.85 444.29 2 
308.75 403.78 2 
253.35 451.44 2 
614.64 109.12 0 
753.60 145.87 0 
514.00 258.46 2 
476.82 422.10 2 
568.86 679.68 1 
347.53 431.96 2 
697.73 944.30 3 
519.77 858.00 4 
368.87 350.55 2 
539.58 388.95 1 
285.51 630.11 4 
338.58 501.26 2 
754.37 604.78 1 
174.82 799.16 4 
477.64 373.38 2 
786.28 916.75 3 
859.34 654.85 3 
972.51 235.05 0 
666.53 467.45 1 
170.59 617.39 4 
535.92 371.15 2 
540.37 715.80 1 
366.87 951.44 4 
824.90 552.13 1 
990.85 173.14 0 
801.80 426.47 0 
358.32 882.20 4 
491.13 256.31 2 
134.03 582.81 4 
335.09 499.64 2 
340.33 869.45 4 
915.70 864.59 3 
640.24 540.54 1 
325.53 659.55 4 
299.98 772.80 4 
357.64 586.19 4 
122.55 783.86 4 
729.84 828.77 3 
191.85 661.61 4 
609.29 642.96 1 
318.96 588.27 4 
152.96 597.26 4 
630.74 537.24 1 
629.47 969.76 3 
191.11 470.94 2 
337.81 154.11 2 
996.65 617.80 3 
189.24 977.20 4 
835.58 956.49 3 
866.95 881.67 3 
352.45 385.41 2 
930.10 877.14 3 
607.75 105.71 0 
277.16 212.04 2 
273.92 896.01 4 
334.62 870.58 4 
258.13 606.54 4 
886.43 546.47 0 
592.28 451.55 1 
209.78 898.04 4 
981.24 327.42 0 
233.32 736.70 4 
649.36 734.89 1 
882.58 952.46 3 
776.78 533.56 1 
629.04 729.40 1 
665.07 906.89 3 
908.18 154.49 0 
823.69 265.29 0 
821.74 472.56 0 
517.52 366.29 2 
490.69 890.63 4 
266.23 279.08 2 
373.54 284.82 2 
435.72 272.00 2 
516.45 913.26 4 
113.02 351.10 2 
550.10 887.03 3 
904.50 227.75 0 
799.58 403.86 0 
948.31 743.30 3 
822.32 396.28 0 
882.06 929.44 3 
240.19 598.25 4 
755.60 631.73 1 
881.07 882.80 3 
630.22 174.87 0 
695.34 274.41 0 
954.35 697.76 3 
963.88 188.80 0 
156.86 236.10 2 
161.77 903.13 4 
848.44 881.51 3 
494.64 510.41 1 
471.13 494.06 1 
472.12 660.54 1 
287.76 497.80 2 
435.37 441.55 2 
450.80 535.90 1 
702.76 703.85 3 
641.94 714.84 1 
350.74 180.78 2 
122.61 214.76 2 
594.62 308.94 0 
486.62 395.02 2 
985.09 100.33 0 
